name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
bristol,2021-10-10,17.1,10.7,14,17.1,10.7,14,10.8,81.7,0,0,0,,0,0,25.2,16,0.5,1030.3,58.9,12.5,115.6,9.8,5,,2021-10-10T07:26:02,2021-10-10T18:27:43,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03853099999,03743099999,03716099999,03644099999,03724399999,D9855,03740099999,EGGD"
bristol,2021-10-11,14.1,6.8,10.3,14.1,6,10,7.6,83.8,0,0,0,,0,0,19.4,9.6,294.3,1031.5,15.6,11.7,106.2,9.2,4,,2021-10-11T07:27:42,2021-10-11T18:25:32,0.16,Clear,Clear conditions throughout the day.,clear-day,"03853099999,03743099999,03716099999,03644099999,D9855,03740099999,EGGD"
bristol,2021-10-12,15,6.8,11.2,15,4.9,10.7,9.1,87.5,0.05,100,4.17,rain,0,0,25.9,14.5,293.8,1027.1,65.3,11.3,85.4,7.4,4,,2021-10-12T07:29:23,2021-10-12T18:23:21,0.21,"Rain, Partially cloudy",Becoming cloudy in the afternoon with morning rain.,rain,"03853099999,03743099999,03716099999,03644099999,D9855,03740099999,EGGD"
bristol,2021-10-13,15.2,10.7,12.9,15.2,10.7,12.9,10.9,88.4,0,0,0,,0,0,18.4,13.5,271.5,1027.9,91.5,11.9,75.9,6.5,4,,2021-10-13T07:31:04,2021-10-13T18:21:11,0.27,Overcast,Cloudy skies throughout the day.,cloudy,"03853099999,03743099999,03716099999,03644099999,03724399999,D9855,03740099999,EGGD"
bristol,2021-10-14,15.3,9.9,12.7,15.3,8.7,12.6,10.5,87.5,0.05,100,4.17,rain,0,0,29.9,21.5,239.1,1024.1,81.5,11.5,111,9.7,5,,2021-10-14T07:32:46,2021-10-14T18:19:02,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03853099999,03743099999,03716099999,03644099999,D9855,03740099999,EGGD"
bristol,2021-10-15,13.1,11.1,12.2,13.1,11.1,12.2,10.5,89,0,0,0,,0,0,28.1,18.5,350.5,1020.1,85,12,46.7,4,2,,2021-10-15T07:34:27,2021-10-15T18:16:53,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03853099999,03743099999,03716099999,03644099999,D9855,03740099999,EGGD"
bristol,2021-10-16,16.1,10.6,12.5,16.1,10.6,12.5,10.6,88.6,0.32,100,4.17,rain,0,0,20.5,13.3,167.7,1019.5,59.4,10.1,72.6,6.3,4,,2021-10-16T07:36:10,2021-10-16T18:14:45,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03853099999,03743099999,03716099999,03644099999,D9855,03740099999,EGGD"
bristol,2021-10-17,17.1,11.2,13.4,17.1,11.2,13.4,11.1,86.5,0.06,100,4.17,rain,0,0,27.7,17.1,181.5,1016,49.1,10.6,71,6,3,,2021-10-17T07:37:52,2021-10-17T18:12:38,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03853099999,03743099999,03716099999,03644099999,D9855,03740099999,EGGD"
bristol,2021-10-18,16,10.7,14.1,16,10.7,14.1,13.4,95.5,3.9,100,37.5,rain,0,0,37.4,23.3,173.2,1014.3,80.8,8.6,14.3,1.2,1,,2021-10-18T07:39:35,2021-10-18T18:10:33,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03853099999,03743099999,03716099999,03644099999,D9855,03740099999,EGGD"
bristol,2021-10-19,17.1,15.1,16.1,17.1,15.1,16.1,15.4,95.7,3.81,100,45.83,rain,0,0,53.8,27.9,198.5,1010.1,97.8,8.2,16.1,1.3,1,,2021-10-19T07:41:18,2021-10-19T18:08:28,0.49,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"03853099999,03743099999,03716099999,03644099999,D9855,03740099999,EGGD"
